0	16205	163
1	21541	439
2	20254	626
3	20847	868
4	19838	1044
5	19108	1219
6	18685	1406
7	18323	1593
8	18013	1781
9	18513	2057
10	18132	2241
11	18035	2459
12	17930	2679
13	17602	2865
14	17296	3052
15	17005	3239
16	16563	3392
17	16507	3623
18	16482	3866
19	16445	4111
20	16245	4318
21	16208	4571
22	15964	4768
23	15691	4955
24	15425	5141
25	15199	5340
26	15095	5583
27	14842	5771
28	14697	6003
29	14624	6267
30	14367	6454
31	14301	6730
32	14133	6961
33	14110	7269
34	14113	7599
35	14018	7885
36	13951	8193
37	13889	8512
38	13853	8856
39	13759	9172
40	13604	9453
41	13420	9718
42	13205	9961
43	13006	10219
44	12822	10490
45	12621	10751
46	12397	10994
47	12280	11336
48	12174	11696
49	11975	11975
50	11715	12193
51	11459	12414
52	11289	12731
53	11042	12962
54	10803	13204
55	10649	13553
56	10483	13896
57	10326	14260
58	10045	14455
59	9812	14719
60	9537	14917
61	9270	15125
62	9006	15334
63	8737	15533
64	8458	15709
65	8193	15905
66	7937	16114
67	7682	16324
68	7428	16533
69	7184	16764
70	6928	16962
71	6690	17204
72	6448	17435
73	6195	17633
74	5951	17854
75	5707	18074
76	5473	18322
77	5240	18578
78	4990	18774
79	4754	19016
80	4527	19302
81	4307	19621
82	4068	19863
83	3834	20128
84	3594	20367
85	3349	20577
86	3104	20775
87	2861	20983
88	2620	21203
89	2381	21433
90	2158	21822
91	1917	22050
92	1673	22237
93	1434	22477
94	1193	22675
95	951	22828
96	712	23026
97	473	23202
98	236	23429
99	0	23684
